"SYS_ID","EMPLOYEE_SYSID","OFFICE_WRK_DT_CNTRL_SYSID","AUTHD_WRK_DT_STATUS","CURR_ADM_TRANS_SEQ_NBR","CURR_DL_TRANS_SEQ_NBR","CURR_VR_TRANS_SEQ_NBR","CURR_DL_MT_TRANS_SEQ_NBR","CURR_VR_MT_TRANS_SEQ_NBR","CREATOR_ID","CREATE_TSTAMP","MODIFIED_BY","MODIFIED_TSTAMP","SYS_ID","OFFICE_SYSID","AUTHD_WRK_DT","AUTHD_WRK_DT_STATUS","CREATOR_ID","CREATE_TSTAMP","MODIFIED_BY","MODIFIED_TSTAMP","SYS_ID","OFFICE_NME","OFFICE_ID","OFFICE_PHONE_NBR","OFFICE_DL_TEST_WINDOW_NBR","SATELLITE_OFFICE_IND","OFFICE_SYSID","CREATOR_ID","CREATE_TSTAMP","MODIFIED_BY","MODIFIED_TSTAMP","SYS_ID","TECH_ID","USER_SYSID","CREATOR_ID","CREATE_TSTAMP","MODIFIED_BY","MODIFIED_TSTAMP"
"16532","23136","2913","S","4001","5401","1","7001","2001","mwdnh                          ","2018-08-08 13:38:19.3026","mwdnh                          ","2018-08-08 13:38:19.3026","2913","2401","2018-08-08 00:00:00.0","S","mwdnh                          ","2018-08-08 13:35:18.276741","mwdnh                          ","2018-08-08 13:35:18.276741","2401","TEST OFFICE                                       ","111","1800277111","22","N","0","admin                          ","2013-10-10 10:24:47.802","admin                          ","2014-02-11 09:00:58.477","23136","VV","0","admin                          ","2014-04-30 10:32:21.364095","admin                          ","2014-04-30 10:32:21.364095"
"16531","29089","2910","S","4001","5401","1","7001","2001","mwdnh                          ","2018-08-08 13:37:09.179409","mwdnh                          ","2018-08-08 13:37:09.179409","2910","2401","2018-08-08 00:00:00.0","S","mwdnh                          ","2018-08-08 13:35:17.675564","mwdnh                          ","2018-08-08 13:35:17.675564","2401","TEST OFFICE                                       ","111","1800277111","22","N","0","admin                          ","2013-10-10 10:24:47.802","admin                          ","2014-02-11 09:00:58.477","29089","ZZ","0","admin                          ","2014-07-23 09:00:12.456279","admin                          ","2014-07-23 09:00:12.456279"
"16530","29088","2912","S","4001","5401","1","7001","2001","mwdnh                          ","2018-08-08 13:37:09.033585","mwdnh                          ","2018-08-08 13:37:09.033585","2912","2401","2018-08-08 00:00:00.0","S","mwdnh                          ","2018-08-08 13:35:18.146011","mwdnh                          ","2018-08-08 13:35:18.146011","2401","TEST OFFICE                                       ","111","1800277111","22","N","0","admin                          ","2013-10-10 10:24:47.802","admin                          ","2014-02-11 09:00:58.477","29088","YY","0","admin                          ","2014-07-23 09:00:12.344168","admin                          ","2014-07-23 09:00:12.344168"
"16528","29087","2913","S","4001","5401","1","7001","2001","mwdnh                          ","2018-08-08 13:37:08.595134","mwdnh                          ","2018-08-08 13:37:08.595134","2913","2401","2018-08-08 00:00:00.0","S","mwdnh                          ","2018-08-08 13:35:18.276741","mwdnh                          ","2018-08-08 13:35:18.276741","2401","TEST OFFICE                                       ","111","1800277111","22","N","0","admin                          ","2013-10-10 10:24:47.802","admin                          ","2014-02-11 09:00:58.477","29087","ZZ","0","admin                          ","2014-04-30 10:32:52.066293","admin                          ","2014-04-30 10:32:52.066293"
